img,ndwi,ndvi,color1,color2,color3,var1,var2,var3,mean,std,skweness,kurtosis,gradient,energy,correlation,homo,area,perimeter,compactness,eccentricity
24412795,-77.68838856,7138.734694,112.4954681,125.0540924,134.9601288,4369.325572,3873.010242,5196.142926,5.96E-08,2.06E-06,212.3847385,81035.28354,0.074150085,0.008677702,0.819030069,0.071031783,65483,1720.492604,133.5375883,144.5389197
22871393,2592.731181,6274.353133,107.920578,121.9330444,119.1361389,3973.859949,4175.494815,4434.299398,5.96E-08,1.55E-06,112.526975,43922.06462,0.015510559,0.007217171,0.732057394,0.044469788,65438,743.9442636,55.49880121,132.0078556
22987207,-4357.83939,2889.455589,107.2032471,114.3470764,129.2066193,2092.188183,2122.285452,2393.716113,5.96E-08,3.17E-06,150.9189964,37206.99781,-0.181404114,0.018298612,0.961058527,0.225543594,65522,7382.385494,1007.224346,158.378648
23318830,-1581.72981,8575.526941,105.2555542,122.7220612,127.8394928,3898.470733,3940.885625,4022.75004,5.96E-08,1.52E-06,47.16181535,4195.901418,-0.098205566,0.007241321,0.714007588,0.045979866,65502,752.6366517,21.11398798,102.21349
23803094,5112.519778,6723.762211,114.4996948,127.8470917,120.8596039,4068.780426,3475.214488,4370.83971,5.96E-08,1.62E-06,95.65033484,18745.43701,-0.360710144,0.008806546,0.777618812,0.075253883,65526,1764.379905,101.5417097,120.5052148
21453469,5064.537627,6602.27401,100.9477386,118.811264,107.5949554,2612.586487,3068.556038,3199.66237,5.96E-08,1.71E-06,91.97575833,21285.10572,-0.065124512,0.012567587,0.9184751,0.144147291,65505,3401.001405,241.2752552,128.0461447
24000539,6659.631078,786.3799485,127.7091217,128.0961914,110.4138489,3697.860138,3460.584375,3063.481195,5.96E-08,1.84E-06,75.66686403,10736.75515,-0.479309082,0.009116089,0.835757576,0.080334136,65475,1249.318939,46.98322618,126.6582992
25314802,-315.1909512,1645.49087,125.5587616,129.0926971,131.6217651,3808.156795,3425.715299,3737.206944,5.96E-08,1.91E-06,85.27821944,12828.50294,0.208755493,0.010476172,0.791876951,0.103666839,65461,2361.429724,134.2773643,139.0337815
22736093,2835.922851,-234.1036173,119.8550415,116.2763519,110.7938538,3911.244643,3450.346008,3497.953323,5.96E-08,2.04E-06,84.72021209,12058.2833,-0.347854614,0.007560577,0.751649251,0.045416244,65468,641.0325753,22.74820582,101.4734177
25420809,2809.746003,7794.214082,119.9056854,136.1158295,131.8692474,4531.255524,3952.540005,4376.5225,5.96E-08,2.04E-06,126.880688,30113.06374,-0.437744141,0.009094493,0.814670333,0.086090387,65511,1966.249963,154.3840395,142.301835
25049148,1516.54549,-13.59064843,133.6920776,126.552948,121.9746399,4714.355593,3458.329991,3305.968351,5.96E-08,2.17E-06,198.6418211,73729.74957,-0.422012329,0.009804568,0.778975687,0.089764102,65482,3140.375901,495.6532942,141.0274887
24741690,-1473.537734,6154.344012,114.6016846,128.1677856,134.7587585,3598.644781,3548.619431,3971.486328,5.96E-08,2.59E-06,156.7636017,39433.22267,-0.472946167,0.010003404,0.869866435,0.099007913,65520,1990.782971,104.5817349,128.4736753
