img,ndwi,ndvi,color1,color2,color3,var1,var2,var3,mean,std,skweness,kurtosis,gradient,energy,correlation,homo,area,perimeter,compactness,eccentricity
19916786,14961.15866,24609.45386,77.75975037,129.3962097,96.75007629,3093.152775,3615.093445,3421.772118,5.96E-08,2.52E-06,355.1585745,229964.1391,0.035163879,0.006142254,0.145197756,0.016986069,65524,104.7756493,1.891953934,100.975451
20521777,13377.06933,22076.65151,84.14428711,128.9000702,100.0931091,3674.539453,3741.113137,3579.396635,5.96E-08,2.35E-06,319.4670829,208610.8008,0.033035278,0.006065364,0.197068233,0.019351184,65531,149.5746391,3.418095685,100.4495803
24644689,-487.2524274,407.8949849,123.6286469,125.2380066,127.1814575,3525.619741,3701.564538,3790.486513,5.96E-08,2.29E-06,114.6849113,24405.70235,-0.082107544,0.008343493,0.860072823,0.066450689,65464,1109.915872,33.67467252,114.2931468
21195682,6873.735442,21551.08596,82.34056091,127.9320679,113.1478119,3242.846314,3860.346307,3917.384966,5.96E-08,1.46E-06,130.1204348,56040.12082,-0.10018158,0.006044164,0.283588718,0.018763864,65532,114.8467171,1.898717879,92.26898616
20160265,-4955.054871,-2662.703343,104.3972473,95.50965881,107.714325,3624.19568,3274.439879,3679.389581,5.96E-08,2.25E-06,642.2445789,811584.4591,0.240234375,0.011306019,0.747904729,0.105632387,65513,3944.821643,682.7624495,157.333868
19890433,10845.338,20790.91373,77.70066833,126.0707092,99.73254395,2368.04332,3007.356664,2711.421998,5.96E-08,1.53E-06,80.32587138,19578.36505,0.114692688,0.006555335,0.227092477,0.020390118,65531,130.3319985,1.311532587,96.10822116
24595063,-4154.695454,271.3030507,118.2618103,121.3262329,135.7028351,3743.345274,4008.615435,4308.419124,5.96E-08,1.90E-06,65.73237655,7237.215431,0.151092529,0.011348136,0.955156227,0.138174853,65506,3755.557754,280.4171183,144.53836
21014530,8534.241528,14201.09168,90.62031555,125.744339,104.291626,2669.956014,2873.291922,2974.526557,5.96E-08,1.80E-06,52.80658957,4509.901566,0.023872375,0.007017503,0.524903306,0.029963841,65527,308.7705986,9.437166163,104.9573042
20758795,-256.155767,-3684.125061,109.2480774,102.3028107,105.203186,3237.523266,3616.0928,4113.753759,5.96E-08,1.90E-06,66.25835344,7218.511771,0.078269958,0.01224793,0.944252989,0.131818919,65529,3420.805445,261.3881281,124.08608
23759630,-4399.611811,1205.680957,115.1443481,118.1377869,129.2610474,3505.255866,3667.503323,3826.96344,5.96E-08,3.01E-06,188.9352438,56418.66888,0.057243347,0.006632877,0.562791342,0.032154674,65476,338.6051224,5.590175718,106.1413946
21183059,2123.753241,15605.20446,85.68281555,121.3791351,116.1658783,2907.43127,3401.585947,3235.361599,5.96E-08,2.74E-06,251.9403264,90762.75539,-0.009361267,0.007110286,0.494390892,0.030672155,65497,328.3330445,10.61973768,126.2561966
24112677,-2311.647872,2282.834605,117.3948669,122.6909485,127.8444366,3955.523768,4137.662849,4186.222916,5.96E-08,2.92E-06,81.9613656,8899.779101,-0.15120697,0.006865651,0.730069856,0.039889227,65444,364.8477631,6.322451571,92.9836233
21717748,4759.642284,14564.22185,94.5761261,121.8781281,114.9322815,4833.9827,3859.278986,4641.375541,5.96E-08,1.40E-06,79.45373738,19547.91813,0.120758057,0.006838734,0.641849356,0.0376925,65490,459.8244225,13.93128645,97.11539634
21876168,2148.005704,21565.35448,83.94697571,127.0393066,122.8175507,3492.963238,3912.004375,4043.385368,5.96E-08,1.59E-06,45.84321727,3362.539417,0.020439148,0.006032117,0.286359395,0.018442593,65533,85.08326112,0.863373773,91.24516701
22734739,1874.911022,14488.55097,96.67483521,127.546814,122.6829376,3889.52116,4009.324591,3996.827587,5.96E-08,1.49E-06,47.18029626,5916.048689,0.075836182,0.00607889,0.393044428,0.023918232,65524,204.3086579,5.01399861,108.6652408
21484677,2216.967305,25097.48524,75.85717773,128.329422,123.6435547,3142.252734,3840.605638,3913.910514,5.96E-08,1.65E-06,50.20698049,3827.679483,-0.096199036,0.006134034,0.307180401,0.020571816,65510,151.0954544,8.751673452,96.38503033
21300304,563.7404204,-4113.01688,114.7119141,105.0792389,105.2256927,3163.383925,3355.978508,3706.483868,5.96E-08,2.20E-06,69.96008405,7276.69364,0.162635803,0.011568881,0.91821099,0.116315849,65524,3436.255193,252.1784283,135.5282185
21475374,-3454.079612,11956.94894,91.92597961,112.2540741,123.5081482,3934.239959,3797.442084,4475.000758,5.96E-08,1.40E-06,62.15833525,11901.34042,0.12902832,0.007441196,0.711461598,0.049994351,65457,740.2163415,55.21629686,111.7067927
20131010,10562.42987,3030.294974,108.1390381,111.2034149,87.8323822,3660.774614,3082.351643,2634.058071,5.96E-08,1.26E-06,54.60910924,11692.02371,-0.003135681,0.007244755,0.522045437,0.037891866,65525,538.0498193,29.15334809,111.6525968
25062841,576.6896724,-1869.041168,128.2399597,127.0784302,127.1102142,4347.873694,4559.199629,4566.935073,5.96E-08,5.55E-06,177.772991,37886.75139,-0.091583252,0.006818631,0.716452847,0.038246917,65276,537.0853532,39.9055903,106.2079939
21506457,-5956.113328,9415.343804,91.12229919,110.0197754,127.0204163,3344.235119,3718.379003,4281.206279,5.96E-08,1.45E-06,39.75432521,2768.177045,-0.441017151,0.008216184,0.860575695,0.061159432,65490,860.7493501,38.08229208,101.2424113
23431364,-2963.694746,3318.16703,111.4461975,119.0563812,127.031662,3778.96613,3942.586344,4063.420003,5.96E-08,2.04E-06,60.40868095,5190.602163,-0.091804504,0.006718017,0.609816858,0.038038944,65453,510.9076836,14.47114732,101.1797813
